"Timestamp","EmployeeId","UserPrincipalName","Action","Status","Details"
"2026-09-15T11:47:44","LAB1001","jordan.reed@contoso.onmicrosoft.com","Create user and assign group","Success","Assigned to SG-IAM-Finance"
"2026-09-15T11:54:45","LAB1001","jordan.reed@contoso.onmicrosoft.com","Create user","Skipped","User already exists"
"2026-09-15T12:01:19","LAB1001","jordan.reed@contoso.onmicrosoft.com","Create user","Skipped","User already exists"
"2026-09-15T12:01:20","LAB1002","maya.brooks@contoso.onmicrosoft.com","Joiner provisioning","Failed","Method invocation failed because [System.Management.Automation.PSObject] does not contain a method named 'op_Addition'."
"2026-09-15T12:01:21","LAB1003","ethan.cole@contoso.onmicrosoft.com","Joiner provisioning","Failed","Method invocation failed because [System.Management.Automation.PSObject] does not contain a method named 'op_Addition'."
"2026-09-16T11:52:37","LAB1002","maya.brooks@contoso.onmicrosoft.com","Credential recovery","Success","Password reset and encrypted credential preserved"
"2026-09-16T11:52:38","LAB1003","ethan.cole@contoso.onmicrosoft.com","Credential recovery","Success","Password reset and encrypted credential preserved"
"2026-09-16T12:02:20","LAB1001","jordan.reed@contoso.onmicrosoft.com","Create user","Skipped","User already exists"
"2026-09-16T12:02:20","LAB1002","maya.brooks@contoso.onmicrosoft.com","Create user","Skipped","User already exists"
"2026-09-16T12:02:20","LAB1003","ethan.cole@contoso.onmicrosoft.com","Create user","Skipped","User already exists"
